spot_id,spot_sector_id,spot_type_id,spot_settlement,spot_municipality,spot_state,spot_region,spot_corridor,spot_latitude,spot_longitude,spot_area_in_sqm,spot_price_sqm_mxn_rent,spot_price_total_mxn_rent,spot_price_sqm_mxn_sale,spot_price_total_mxn_sale,spot_modality,uuiid,spot_created_date
23396,11,2,TLACOQUEMECATL DEL VALLE,Benito Juárez,Ciudad de México,Center,Insurgentes,19.37771622,-99.1774183,7000,290,2030000,,,Rent,8463,2024-02-21
28222,11,2,LETRAN VALLE,Benito Juárez,Ciudad de México,Center,,19.3773602,-99.1527733,129,,,89147.28682,11500000,Sale,16597,2024-07-12
20871,11,2,TLACOQUEMECATL DEL VALLE,Benito Juárez,Ciudad de México,Center,Insurgentes,19.3770035,-99.1771055,6316,426.419686,2693266.737,,,Rent,8463,2024-01-26
22290,9,2,SAN BLAS OTZACATIPAN,Toluca,México,Center,Toluca - Lerma,19.3762875,-99.5676719,13672,125,1709000,,,Rent,7411,2024-01-29
23223,11,2,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,Insurgentes,19.37619924,-99.1705405,13700,315,4315500,,,Rent,8463,2024-02-21
23224,11,2,TLACOQUEMECATL DEL VALLE,Benito Juárez,Ciudad de México,Center,Insurgentes,19.37611492,-99.1779358,9713,310,3011030,,,Rent,8463,2024-02-21
20839,11,2,PALO ALTO (GRANJAS) O COOP PALO ALTO,Cuajimalpa de Morelos,Ciudad de México,Center,,19.3759884,-99.2611575,55468,395,21909860,2062001,114375071468,Rent & Sale,8463,2024-01-26
23185,11,2,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,Insurgentes,19.375824,-99.170121,2306,320,737920,,,Rent,8463,2024-02-21
20467,11,1,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.3757286,-99.2591972,330,399.4013588,131802.4484,,,Rent,12004,2024-01-17
23514,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.37564299,-99.25762082,20000,407.036973,8140739.46,,,Rent,8463,2024-02-21
23515,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.37564299,-99.25762082,20000,387.65426,7753085.2,,,Rent,8463,2024-02-21
23516,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.37564299,-99.25762082,20000,387.65426,7753085.2,,,Rent,8463,2024-02-21
26328,11,2,SAN GABRIEL,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.3755597,-99.2604259,21855,,,78089,1706635095,Sale,2360,2024-04-01
20674,13,1,ALFONSO XIII,Álvaro Obregón,Ciudad de México,Center,,19.3755096,-99.1921874,200,441,88200,,,Rent,392,2024-01-25
28551,13,1,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,Del Valle,19.3752589,-99.1641457,112,540.1785714,60500,,,Rent,931,2024-07-22
30738,13,2,INSURGENTES MIXCOAC,Benito Juárez,Ciudad de México,Center,,19.3752307,-99.1873143,480,400,192000,,,Rent,16319,2024-10-03
28835,13,1,INSURGENTES MIXCOAC,Benito Juárez,Ciudad de México,Center,,19.3752307,-99.1873143,480,650,312000,,,Rent,392,2024-08-12
28357,11,1,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,Insurgentes,19.3748125,-99.1665156,100,200,20000,,,Rent,16680,2024-07-16
27367,13,1,LETRAN VALLE,Benito Juárez,Ciudad de México,Center,,19.3747964,-99.1544241,22,909.0909091,20000,,,Rent,14926,2024-05-21
27375,13,1,LETRAN VALLE,Benito Juárez,Ciudad de México,Center,,19.3747964,-99.1544241,30,20000,600000,,,Rent,14926,2024-05-22
27140,9,1,OLIVAR DEL CONDE 1RA SECCION,Álvaro Obregón,Ciudad de México,Center,,19.3747007,-99.209596,800,,,15000,12000000,Sale,11907,2024-05-08
23214,11,2,STA CRUZ ATOYAC,Benito Juárez,Ciudad de México,Center,Insurgentes,19.37399255,-99.16029952,3500,350,1225000,,,Rent,8463,2024-02-21
23549,11,2,TLACOQUEMECATL DEL VALLE,Benito Juárez,Ciudad de México,Center,Insurgentes,19.37385,-99.178453,19100,460,8786000,,,Rent,8463,2024-02-21
28599,13,1,LETRAN VALLE,Benito Juárez,Ciudad de México,Center,,19.3737858,-99.1541124,160,437.5,70000,,,Rent,16559,2024-07-24
22321,13,2,JARDINES DE LA PALMA (HUIZACHITO),Cuajimalpa de Morelos,Ciudad de México,Center,,19.3737471,-99.27769,2040,833,1699320,,,Rent,931,2024-01-30
27693,11,2,PASEO DE LAS LOMAS,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.3736523,-99.2641216,115,49300,5669500,44382.6087,5104000,Rent & Sale,15365,2024-06-11
29555,11,1,STA CRUZ ATOYAC,Benito Juárez,Ciudad de México,Center,Insurgentes,19.373428,-99.1607972,54,370.3703704,20000,77777.77778,4200000,Rent & Sale,17226,2024-09-09
23277,11,2,STA CRUZ ATOYAC,Benito Juárez,Ciudad de México,Center,Insurgentes,19.37335786,-99.16091829,3284,,,65000,213460000,Sale,8463,2024-02-21
27606,9,1,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,,19.3731625,-99.1660156,1800,,,8083.333333,14550000,Sale,14913,2024-06-04
23283,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.372957,-99.259919,6881,348.888834,2400704.067,,,Rent,8463,2024-02-21
23550,11,2,TLACOQUEMECATL DEL VALLE,Benito Juárez,Ciudad de México,Center,Insurgentes,19.37280703,-99.17368735,21420,530,11352600,,,Rent,8463,2024-02-21
27704,11,1,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.372741,-99.2604562,18,1111.111111,20000,,,Rent,15577,2024-06-12
27705,11,1,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.372741,-99.2604562,51,784.3137255,40000,,,Rent,15365,2024-06-12
27707,11,1,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.372741,-99.2604562,24,916.6666667,22000,,,Rent,15365,2024-06-12
20798,11,2,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,Insurgentes,19.372285,-99.1750703,10000,210,2100000,,,Rent,8463,2024-01-26
23442,11,2,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,Insurgentes,19.372226,-99.175165,685,210,143850,,,Rent,8463,2024-02-21
28605,11,1,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,Insurgentes,19.3716225,-99.1730267,30,500,15000,,,Rent,15770,2024-07-25
28200,11,1,INSURGENTES MIXCOAC,Benito Juárez,Ciudad de México,Center,Insurgentes,19.3713943,-99.1817247,740,206.7567568,153000,,,Rent,16559,2024-07-11
20273,13,1,JESUS DEL MONTE,Huixquilucan,México,Center,,19.3712914,-99.2937258,300,,,43333.33333,13000000,Sale,931,2024-01-09
20138,13,1,JESUS DEL MONTE,Huixquilucan,México,Center,,19.3710789,-99.2941356,160,500,80000,,,Rent,931,2024-01-04
22832,13,1,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,Del Valle,19.3708737,-99.1675409,134,522.3880597,70000,,,Rent,392,2024-02-13
23204,11,2,ACTIPAN,Benito Juárez,Ciudad de México,Center,Insurgentes,19.37084545,-99.17959843,16800,260,4368000,,,Rent,8463,2024-02-21
30125,13,1,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,Del Valle,19.3706027,-99.1743101,57,842.1052632,48000,,,Rent,17567,2024-09-23
23174,11,2,ACTIPAN,Benito Juárez,Ciudad de México,Center,Insurgentes,19.3703324,-99.1798026,10800,400,4320000,,,Rent,8463,2024-02-21
20579,9,2,TOLUCA 2000,Toluca,México,Center,Toluca - Lerma,19.3701875,-99.5668125,44783,174.444417,7812144.327,,,Rent,7411,2024-01-24
23507,11,2,INSURGENTES MIXCOAC,Benito Juárez,Ciudad de México,Center,Insurgentes,19.36994573,-99.18042265,12390,520,6442800,,,Rent,8463,2024-02-21
